,Features,Importance
1040,Teeth on chainring 0,0.02457860393215266
234,Seat tube length,0.020287340317572653
768,CS textfield,0.01986784913162208
1207,Chain stay length,0.018943991497390695
1206,RDBSD,0.017190888972586593
1205,FDERD,0.014434445124710166
395,Number of cogs,0.014374251580400253
1067,Wheel width front,0.014152798111479691
1576,Fork type OHCLASS: 1,0.014140456825748122
1784,Handlebar style OHCLASS: 0,0.013757336870195815
